# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.global.handle.before.change.events.ms,1786562635919000000,1786562695938000000,0
jps.global.get.library.ms,1786562635919000000,1786562695938000000,0
jps.global.get.library.by.name.ms,1786562635919000000,1786562695938000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1786562635919000000,1786562695938000000,4
jps.global.initialize.library.bridges.ms,1786562635919000000,1786562695938000000,2
workspaceModel.load.cache.metadata.from.file.ms,1786562635919000000,1786562695938000000,51
workspaceModel.mutableEntityStorage.entities.ms,1786562635919000000,1786562695938000000,0
workspaceModel.sync.entities.ms,1786562635919000000,1786562695938000000,0
jps.module.iml.entities.serializer.save.entities.ms,1786562635919000000,1786562695938000000,0
jps.facet.change.listener.init.bridge.ms,1786562635919000000,1786562695938000000,3
jps.project.serializers.save.ms,1786562635919000000,1786562695938000000,2
workspaceModel.mutableEntityStorage.entities.by.source.ms,1786562635919000000,1786562695938000000,2
workspaceModel.do.save.caches.ms,1786562635919000000,1786562695938000000,232
jps.load.project.to.empty.storage.ms,1786562635919000000,1786562695938000000,126
workspaceModel.moduleManagerBridge.get.modules.ms,1786562635919000000,1786562695938000000,0
jps.module.iml.entities.serializer.load.entities.ms,1786562635919000000,1786562695938000000,38
jps.global.handle.changed.events.ms,1786562635919000000,1786562695938000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1786562635919000000,1786562695938000000,1
jps.save.global.entities.ms,1786562635919000000,1786562695938000000,58
workspaceModel.mutableEntityStorage.modify.entity.ms,1786562635919000000,1786562695938000000,3
jps.global.initialize.library.bridges.after.loading.ms,1786562635919000000,1786562695938000000,3
workspaceModel.mutableEntityStorage.has.same.entities.ms,1786562635919000000,1786562695938000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1786562635919000000,1786562695938000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1786562635919000000,1786562695938000000,7
workspaceModel.mutableEntityStorage.resolve.ms,1786562635919000000,1786562695938000000,1
jps.artifact.entities.serializer.load.entities.ms,1786562635919000000,1786562695938000000,0
jps.app.storage.content.reader.load.component.ms,1786562635919000000,1786562695938000000,26
workspaceModel.global.updates.ms,1786562635919000000,1786562695938000000,125
jps.save.changed.project.entities.ms,1786562635919000000,1786562695938000000,2
workspaceModel.global.apply.state.to.project.ms,1786562635919000000,1786562695938000000,246
workspaceModel.mutableEntityStorage.instances.count,1786562635919000000,1786562695938000000,37
workspaceModel.moduleBridge.facet.initialization.ms,1786562635919000000,1786562695938000000,57
workspaceModel.mutableEntityStorage.collect.changes.ms,1786562635919000000,1786562695938000000,3
jps.app.storage.content.writer.save.component.ms,1786562635919000000,1786562695938000000,16
jps.facet.change.listener.before.change.events.ms,1786562635919000000,1786562695938000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1786562635919000000,1786562695938000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1786562635919000000,1786562695938000000,40
workspaceModel.mutableEntityStorage.remove.entity.ms,1786562635919000000,1786562695938000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1786562695938000000,1786562755937000000,0
writeAction.max.wait.ms,1786562695938000000,1786562755937000000,360
writeAction.wait.ms,1786562695938000000,1786562755937000000,0
writeAction.count,1786562695938000000,1786562755937000000,0
DiskQueryRelay.tasksRequested,1786562695938000000,1786562755937000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1786562695938000000,1786562755937000000,0
LowMemory.gcOverloaded,1786562695938000000,1786562755937000000,0
DiskQueryRelay.tasksExecuted,1786562695938000000,1786562755937000000,0
writeAction.median.wait.ms,1786562695938000000,1786562755937000000,300
LowMemory.gcLoad,1786562695938000000,1786562755937000000,8.973805079459043E-4
FlushQueue.waitingTimeAvgNs,1786562695938000000,1786562755937000000,553861.3333333334
FlushQueue.tasksExecuted,1786562695938000000,1786562755937000000,72
NonBlockingReadAction.failedExecutionsCount,1786562695938000000,1786562755937000000,0
FlushQueue.executionTimeAvgNs,1786562695938000000,1786562755937000000,216744.88888888888
AWTEventQueue.eventsDispatched,1786562695938000000,1786562755937000000,146
FlushQueue.queueSizeAvg,1786562695938000000,1786562755937000000,0.05555555555555555
WriteAction.executionsCount,1786562695938000000,1786562755937000000,0
AWTEventQueue.dispatchTime90PNs,1786562695938000000,1786562755937000000,679935
AWTEventQueue.dispatchTimeMaxNs,1786562695938000000,1786562755937000000,3080191
NonBlockingReadAction.finalizedExecutionsCount,1786562695938000000,1786562755937000000,0
FlushQueue.executionTime90PNs,1786562695938000000,1786562755937000000,266239
FlushQueue.queueSize90P,1786562695938000000,1786562755937000000,0
AWTEventQueue.dispatchTimeAvgNs,1786562695938000000,1786562755937000000,368949.4794520548
FlushQueue.waitingTimeMaxNs,1786562695938000000,1786562755937000000,1146879
FlushQueue.executionTimeMaxNs,1786562695938000000,1786562755937000000,1540095
ReadAction.executionsCount,1786562695938000000,1786562755937000000,5
AWTEventQueue.dispatchTimeTotalNS,1786562695938000000,1786562755937000000,54660618
FlushQueue.queueSizeMax,1786562695938000000,1786562755937000000,1
FlushQueue.waitingTime90PNs,1786562695938000000,1786562755937000000,778239
NonBlockingReadAction.failedExecutionTimeUs,1786562695938000000,1786562755937000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1786562695938000000,1786562755937000000,0
cacheStateStorage.get.counter,1786562695938000000,1786562755937000000,0
cacheStateStorage.set.counter,1786562695938000000,1786562755937000000,0
cacheStateStorage.set.duration,1786562695938000000,1786562755937000000,0
cacheStateStorage.get.duration,1786562695938000000,1786562755937000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1786562695938000000,1786562755937000000,0
MappedFileStorage.storages,1786562695938000000,1786562755937000000,16
DirectByteBufferAllocator.disposed,1786562695938000000,1786562755937000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1786562695938000000,1786562755937000000,41959424
DirectByteBufferAllocator.misses,1786562695938000000,1786562755937000000,0
StreamlinedBlobStorage.recordsDeleted,1786562695938000000,1786562755937000000,0
StreamlinedBlobStorage.recordsAllocated,1786562695938000000,1786562755937000000,0
FilePageCache.pageFastCacheHits,1786562695938000000,1786562755937000000,0
DirectByteBufferAllocator.reclaimed,1786562695938000000,1786562755937000000,0
FilePageCache.totalPageLoadsUs,1786562695938000000,1786562755937000000,0
StorageLockContext.competingThreads.max,1786562695938000000,1786562755937000000,0
StreamlinedBlobStorage.recordsRelocated,1786562695938000000,1786562755937000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1786562695938000000,1786562755937000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1786562695938000000,1786562755937000000,0
MappedFileStorage.totalPagesMapped,1786562695938000000,1786562755937000000,16
FilePageCache.pageHits,1786562695938000000,1786562755937000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1786562695938000000,1786562755937000000,36308
FilePageCache.uncachedFileAccess,1786562695938000000,1786562755937000000,0
FilePageCache.capacityInBytes,1786562695938000000,1786562755937000000,629145600
FilePageCache.pageLoads,1786562695938000000,1786562755937000000,0
StorageLockContext.competingThreads.90P,1786562695938000000,1786562755937000000,0
FilePageCache.disposedBuffers,1786562695938000000,1786562755937000000,0
FilePageCache.totalPageDisposalsUs,1786562695938000000,1786562755937000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1786562695938000000,1786562755937000000,0
MappedFileStorage.totalBytesMapped,1786562695938000000,1786562755937000000,202637312
FilePageCache.maxCacheSizeInBytes,1786562695938000000,1786562755937000000,463486976
FilePageCache.maxRegisteredFiles,1786562695938000000,1786562755937000000,1106
